"date;""open"";""high"";""low"";""close"";""vol"";""new"""
"2005-04-12 00:00:00;""33200.000"";""33620.000"";""32880.000"";""33270.000"";""104488"";1"
"2005-04-13 00:00:00;""32860.000"";""33160.000"";""32830.000"";""33040.000"";""55926"";1"
"2005-04-14 00:00:00;""32560.000"";""32650.000"";""31660.000"";""31710.000"";""149804"";1"
"2005-04-15 00:00:00;""31700.000"";""32250.000"";""31660.000"";""32210.000"";""104612"";1"
"2005-04-18 00:00:00;""32400.000"";""32510.000"";""32280.000"";""32350.000"";""63886"";1"
"2005-04-19 00:00:00;""32530.000"";""32910.000"";""32530.000"";""32910.000"";""47476"";1"
"2005-04-20 00:00:00;""33550.000"";""33630.000"";""33360.000"";""33560.000"";""63724"";1"
"2005-04-21 00:00:00;""33120.000"";""33190.000"";""32220.000"";""32310.000"";""83146"";1"
"2005-04-22 00:00:00;""32500.000"";""32860.000"";""32500.000"";""32740.000"";""68138"";1"
"2005-04-25 00:00:00;""32770.000"";""32800.000"";""32110.000"";""32350.000"";""105984"";1"
"2005-04-26 00:00:00;""32690.000"";""32710.000"";""32520.000"";""32690.000"";""44724"";1"
"2005-04-27 00:00:00;""32200.000"";""32280.000"";""31790.000"";""31920.000"";""98554"";1"
"2005-04-28 00:00:00;""31960.000"";""32010.000"";""31720.000"";""31870.000"";""74048"";1"
"2005-04-29 00:00:00;""31790.000"";""32110.000"";""31760.000"";""32090.000"";""47962"";1"
"2005-05-09 00:00:00;""32030.000"";""32450.000"";""32030.000"";""32380.000"";""57800"";1"
"2005-05-10 00:00:00;""32450.000"";""32680.000"";""32320.000"";""32680.000"";""70610"";1"
"2005-05-11 00:00:00;""32700.000"";""32750.000"";""32220.000"";""32430.000"";""91430"";1"
"2005-05-12 00:00:00;""32260.000"";""32390.000"";""32000.000"";""32010.000"";""77890"";1"
"2005-05-13 00:00:00;""31250.000"";""31290.000"";""30910.000"";""30910.000"";""64758"";1"
"2005-05-16 00:00:00;""30810.000"";""31240.000"";""30760.000"";""31070.000"";""103594"";1"
"2005-05-17 00:00:00;""31200.000"";""31340.000"";""30050.000"";""30450.000"";""192832"";1"
"2005-05-18 00:00:00;""30600.000"";""30720.000"";""30220.000"";""30700.000"";""150688"";1"
"2005-05-19 00:00:00;""30990.000"";""31000.000"";""30710.000"";""30750.000"";""110200"";1"
"2005-05-20 00:00:00;""30490.000"";""30790.000"";""30450.000"";""30770.000"";""80898"";1"
"2005-05-23 00:00:00;""30700.000"";""30740.000"";""30500.000"";""30530.000"";""88040"";1"
"2005-05-24 00:00:00;""30800.000"";""31000.000"";""30730.000"";""30990.000"";""63434"";1"
"2005-05-25 00:00:00;""30980.000"";""31070.000"";""30890.000"";""30990.000"";""50440"";1"
"2005-05-26 00:00:00;""31160.000"";""31290.000"";""30880.000"";""30950.000"";""64564"";1"
"2005-05-27 00:00:00;""31260.000"";""31320.000"";""31020.000"";""31160.000"";""65124"";1"
"2005-05-30 00:00:00;""31000.000"";""31170.000"";""30930.000"";""31020.000"";""47920"";1"
"2005-05-31 00:00:00;""30850.000"";""30950.000"";""30630.000"";""30680.000"";""90894"";1"
"2005-06-01 00:00:00;""29780.000"";""29790.000"";""29640.000"";""29730.000"";""39400"";1"
"2005-06-02 00:00:00;""30200.000"";""30700.000"";""30130.000"";""30700.000"";""72944"";1"
"2005-06-03 00:00:00;""31140.000"";""31440.000"";""31120.000"";""31190.000"";""89464"";1"
"2005-06-06 00:00:00;""32200.000"";""32510.000"";""32090.000"";""32510.000"";""68290"";1"
"2005-06-07 00:00:00;""32260.000"";""32370.000"";""32020.000"";""32370.000"";""85124"";1"
"2005-06-08 00:00:00;""31940.000"";""32010.000"";""31800.000"";""31850.000"";""82704"";1"
"2005-06-09 00:00:00;""31550.000"";""31980.000"";""31520.000"";""31960.000"";""64896"";1"
"2005-06-10 00:00:00;""32150.000"";""32540.000"";""32150.000"";""32540.000"";""82482"";1"
"2005-06-13 00:00:00;""32900.000"";""32950.000"";""32650.000"";""32700.000"";""67750"";1"
"2005-06-14 00:00:00;""32840.000"";""32950.000"";""31900.000"";""32340.000"";""115338"";1"
"2005-06-15 00:00:00;""32360.000"";""32700.000"";""32290.000"";""32690.000"";""52798"";1"
"2005-06-16 00:00:00;""32790.000"";""32980.000"";""32660.000"";""32880.000"";""54932"";1"
"2005-06-17 00:00:00;""33050.000"";""33330.000"";""32700.000"";""33290.000"";""89728"";1"
"2005-06-20 00:00:00;""34110.000"";""34450.000"";""34050.000"";""34370.000"";""73076"";1"
"2005-06-21 00:00:00;""33960.000"";""34160.000"";""33820.000"";""33960.000"";""66506"";1"
"2005-06-22 00:00:00;""34140.000"";""34270.000"";""34010.000"";""34070.000"";""48096"";1"
"2005-06-23 00:00:00;""33820.000"";""33930.000"";""33200.000"";""33440.000"";""99138"";1"
"2005-06-24 00:00:00;""33550.000"";""33870.000"";""33410.000"";""33860.000"";""68858"";1"
"2005-06-27 00:00:00;""33070.000"";""33130.000"";""32860.000"";""33080.000"";""64312"";1"
"2005-06-28 00:00:00;""32950.000"";""32990.000"";""32600.000"";""32770.000"";""89748"";1"
"2005-06-29 00:00:00;""32670.000"";""32670.000"";""32110.000"";""32300.000"";""120046"";1"
"2005-06-30 00:00:00;""32860.000"";""32930.000"";""32750.000"";""32850.000"";""70630"";1"
"2005-07-01 00:00:00;""32010.000"";""32520.000"";""31820.000"";""32520.000"";""98078"";1"
"2005-07-04 00:00:00;""31720.000"";""31940.000"";""31580.000"";""31920.000"";""93620"";1"
"2005-07-05 00:00:00;""31880.000"";""32450.000"";""31880.000"";""32240.000"";""100542"";1"
"2005-07-06 00:00:00;""32600.000"";""32760.000"";""32400.000"";""32550.000"";""102642"";1"
"2005-07-07 00:00:00;""32950.000"";""33050.000"";""32810.000"";""33040.000"";""71164"";1"
"2005-07-08 00:00:00;""32980.000"";""33120.000"";""32850.000"";""33050.000"";""63232"";1"
"2005-07-11 00:00:00;""33270.000"";""33390.000"";""33060.000"";""33070.000"";""81552"";1"
"2005-07-12 00:00:00;""33250.000"";""33330.000"";""33130.000"";""33220.000"";""61482"";1"
"2005-07-13 00:00:00;""32950.000"";""33130.000"";""32940.000"";""33080.000"";""56070"";1"
"2005-07-14 00:00:00;""33200.000"";""33390.000"";""33150.000"";""33350.000"";""40660"";1"
"2005-07-15 00:00:00;""33240.000"";""33390.000"";""33160.000"";""33190.000"";""43760"";1"
"2005-07-18 00:00:00;""33300.000"";""33450.000"";""33210.000"";""33270.000"";""39830"";1"
"2005-07-19 00:00:00;""33250.000"";""33360.000"";""33200.000"";""33290.000"";""28748"";1"
"2005-07-20 00:00:00;""33580.000"";""33650.000"";""32980.000"";""33340.000"";""93342"";1"
"2005-07-21 00:00:00;""33490.000"";""33530.000"";""33360.000"";""33420.000"";""25144"";1"
"2005-07-22 00:00:00;""32900.000"";""33670.000"";""32800.000"";""33650.000"";""84778"";1"
"2005-07-25 00:00:00;""33980.000"";""34670.000"";""33910.000"";""34580.000"";""61232"";1"
"2005-07-26 00:00:00;""33600.000"";""34060.000"";""33600.000"";""33870.000"";""45688"";1"
"2005-07-27 00:00:00;""33760.000"";""33930.000"";""33630.000"";""33670.000"";""41012"";1"
"2005-07-28 00:00:00;""34220.000"";""34490.000"";""34220.000"";""34360.000"";""44228"";1"
"2005-07-29 00:00:00;""34790.000"";""34870.000"";""34250.000"";""34370.000"";""71960"";1"
"2005-08-01 00:00:00;""34500.000"";""34500.000"";""34200.000"";""34280.000"";""31446"";1"
"2005-08-02 00:00:00;""34740.000"";""34760.000"";""34530.000"";""34660.000"";""40956"";1"
"2005-08-03 00:00:00;""34700.000"";""34710.000"";""34540.000"";""34650.000"";""21690"";1"
"2005-08-04 00:00:00;""34790.000"";""34800.000"";""34320.000"";""34460.000"";""38422"";1"
"2005-08-05 00:00:00;""34380.000"";""34490.000"";""34120.000"";""34310.000"";""56970"";1"
"2005-08-08 00:00:00;""34180.000"";""34310.000"";""33700.000"";""33760.000"";""54752"";1"
"2005-08-09 00:00:00;""33980.000"";""34350.000"";""33640.000"";""34320.000"";""109290"";1"
"2005-08-10 00:00:00;""33400.000"";""33600.000"";""33370.000"";""33460.000"";""96800"";1"
"2005-08-11 00:00:00;""34100.000"";""34230.000"";""33920.000"";""34140.000"";""60840"";1"
"2005-08-12 00:00:00;""34050.000"";""34180.000"";""33990.000"";""34070.000"";""36276"";1"
"2005-08-15 00:00:00;""34450.000"";""34850.000"";""34420.000"";""34740.000"";""50226"";1"
"2005-08-16 00:00:00;""34940.000"";""35060.000"";""34800.000"";""34970.000"";""37880"";1"
"2005-08-17 00:00:00;""34800.000"";""34870.000"";""34610.000"";""34620.000"";""37010"";1"
"2005-08-18 00:00:00;""33900.000"";""34210.000"";""33840.000"";""34020.000"";""49934"";1"
"2005-08-19 00:00:00;""34120.000"";""34160.000"";""33740.000"";""33750.000"";""62330"";1"
"2005-08-22 00:00:00;""34000.000"";""34180.000"";""33950.000"";""34170.000"";""43792"";1"
"2005-08-23 00:00:00;""34600.000"";""34810.000"";""34520.000"";""34790.000"";""39134"";1"
"2005-08-24 00:00:00;""34730.000"";""34750.000"";""34540.000"";""34600.000"";""41156"";1"
"2005-08-25 00:00:00;""34460.000"";""34530.000"";""34320.000"";""34490.000"";""43236"";1"
"2005-08-26 00:00:00;""34200.000"";""34450.000"";""34050.000"";""34400.000"";""61946"";1"
"2005-08-29 00:00:00;""34920.000"";""35020.000"";""34870.000"";""34910.000"";""33970"";1"
"2005-08-30 00:00:00;""34740.000"";""34880.000"";""34670.000"";""34750.000"";""32094"";1"
"2005-08-31 00:00:00;""34960.000"";""34990.000"";""34850.000"";""34960.000"";""29462"";1"
"2005-09-01 00:00:00;""34580.000"";""34790.000"";""34580.000"";""34620.000"";""49604"";1"
"2005-09-02 00:00:00;""34900.000"";""34940.000"";""34700.000"";""34780.000"";""46652"";1"
"2005-09-05 00:00:00;""35160.000"";""35240.000"";""35050.000"";""35070.000"";""37180"";1"
"2005-09-06 00:00:00;""35140.000"";""35140.000"";""34960.000"";""35010.000"";""26830"";1"
"2005-09-07 00:00:00;""34850.000"";""34850.000"";""34640.000"";""34690.000"";""34140"";1"
"2005-09-08 00:00:00;""34550.000"";""34920.000"";""34520.000"";""34910.000"";""33116"";1"
"2005-09-09 00:00:00;""34370.000"";""34620.000"";""34370.000"";""34550.000"";""49610"";1"
"2005-09-12 00:00:00;""34520.000"";""34690.000"";""34510.000"";""34650.000"";""33342"";1"
"2005-09-13 00:00:00;""35000.000"";""35070.000"";""34890.000"";""34930.000"";""38780"";1"
"2005-09-14 00:00:00;""34780.000"";""34870.000"";""34670.000"";""34760.000"";""23628"";1"
"2005-09-15 00:00:00;""34780.000"";""34860.000"";""34570.000"";""34620.000"";""33140"";1"
"2005-09-16 00:00:00;""34530.000"";""34560.000"";""34270.000"";""34290.000"";""41336"";1"
"2005-09-19 00:00:00;""33750.000"";""33750.000"";""33480.000"";""33510.000"";""45576"";1"
"2005-09-20 00:00:00;""34380.000"";""34510.000"";""34330.000"";""34360.000"";""48624"";1"
"2005-09-21 00:00:00;""34420.000"";""34490.000"";""34320.000"";""34430.000"";""35832"";1"
"2005-09-22 00:00:00;""35100.000"";""35300.000"";""35030.000"";""35260.000"";""47058"";1"
"2005-09-23 00:00:00;""35200.000"";""35510.000"";""35150.000"";""35410.000"";""43650"";1"
"2005-09-26 00:00:00;""35350.000"";""35440.000"";""35200.000"";""35210.000"";""23888"";1"
"2005-09-27 00:00:00;""35650.000"";""35710.000"";""35490.000"";""35500.000"";""33216"";1"
"2005-09-28 00:00:00;""35500.000"";""35530.000"";""35430.000"";""35490.000"";""19260"";1"
"2005-09-29 00:00:00;""35630.000"";""35640.000"";""35480.000"";""35540.000"";""19978"";1"
"2005-09-30 00:00:00;""35520.000"";""35600.000"";""35490.000"";""35580.000"";""17816"";1"
"2005-10-10 00:00:00;""36490.000"";""36950.000"";""36490.000"";""36950.000"";""22786"";1"
"2005-10-11 00:00:00;""36900.000"";""37240.000"";""36600.000"";""36810.000"";""46442"";1"
"2005-10-12 00:00:00;""37400.000"";""37470.000"";""37260.000"";""37300.000"";""26990"";1"
"2005-10-13 00:00:00;""36800.000"";""37040.000"";""36720.000"";""37020.000"";""30822"";1"
"2005-10-14 00:00:00;""36560.000"";""36780.000"";""36560.000"";""36700.000"";""32740"";1"
"2005-10-17 00:00:00;""36800.000"";""37220.000"";""36800.000"";""37180.000"";""26642"";1"
"2005-10-18 00:00:00;""37790.000"";""37940.000"";""37790.000"";""37820.000"";""25862"";1"
"2005-10-19 00:00:00;""37440.000"";""37560.000"";""37180.000"";""37230.000"";""32492"";1"
"2005-10-20 00:00:00;""37280.000"";""37470.000"";""37200.000"";""37460.000"";""23720"";1"
"2005-10-21 00:00:00;""36810.000"";""36900.000"";""36220.000"";""36390.000"";""69808"";1"
"2005-10-24 00:00:00;""37000.000"";""37240.000"";""36980.000"";""37130.000"";""42074"";1"
"2005-10-25 00:00:00;""37090.000"";""37100.000"";""36460.000"";""36660.000"";""57934"";1"
"2005-10-26 00:00:00;""37480.000"";""37480.000"";""36960.000"";""37040.000"";""47912"";1"
"2005-10-27 00:00:00;""36900.000"";""36950.000"";""36420.000"";""36790.000"";""72440"";1"
"2005-10-28 00:00:00;""36650.000"";""36710.000"";""36360.000"";""36620.000"";""58248"";1"
"2005-10-31 00:00:00;""36680.000"";""36740.000"";""36250.000"";""36330.000"";""70910"";1"
"2005-11-01 00:00:00;""36300.000"";""36690.000"";""36180.000"";""36540.000"";""76168"";1"
"2005-11-02 00:00:00;""36600.000"";""36770.000"";""36490.000"";""36720.000"";""54044"";1"
"2005-11-03 00:00:00;""36900.000"";""36930.000"";""36660.000"";""36660.000"";""40370"";1"
"2005-11-04 00:00:00;""36570.000"";""36650.000"";""36460.000"";""36600.000"";""37876"";1"
"2005-11-07 00:00:00;""36810.000"";""37040.000"";""36500.000"";""36600.000"";""103884"";1"
"2005-11-08 00:00:00;""36590.000"";""36750.000"";""36520.000"";""36710.000"";""49640"";1"
"2005-11-09 00:00:00;""36520.000"";""36690.000"";""36490.000"";""36670.000"";""40206"";1"
"2005-11-10 00:00:00;""36600.000"";""36630.000"";""36330.000"";""36580.000"";""68666"";1"
"2005-11-11 00:00:00;""37050.000"";""37170.000"";""36990.000"";""37090.000"";""48684"";1"
"2005-11-14 00:00:00;""37600.000"";""37650.000"";""37340.000"";""37370.000"";""41646"";1"
"2005-11-15 00:00:00;""37410.000"";""37530.000"";""37300.000"";""37430.000"";""36376"";1"
"2005-11-16 00:00:00;""37310.000"";""37520.000"";""37310.000"";""37430.000"";""23020"";1"
"2005-11-17 00:00:00;""37420.000"";""37420.000"";""37080.000"";""37140.000"";""41508"";1"
"2005-11-18 00:00:00;""37200.000"";""37220.000"";""36920.000"";""37060.000"";""49852"";1"
"2005-11-21 00:00:00;""37300.000"";""37430.000"";""37060.000"";""37100.000"";""33412"";1"
"2005-11-22 00:00:00;""37100.000"";""37150.000"";""36960.000"";""37010.000"";""25292"";1"
"2005-11-23 00:00:00;""36350.000"";""36540.000"";""35540.000"";""35610.000"";""99692"";1"
"2005-11-24 00:00:00;""35920.000"";""36030.000"";""35780.000"";""36000.000"";""40834"";1"
"2005-11-25 00:00:00;""36290.000"";""36810.000"";""36200.000"";""36700.000"";""45020"";1"
"2005-11-28 00:00:00;""36350.000"";""36400.000"";""35710.000"";""35860.000"";""49002"";1"
"2005-11-29 00:00:00;""35980.000"";""36260.000"";""35870.000"";""36040.000"";""39970"";1"
"2005-11-30 00:00:00;""35950.000"";""37430.000"";""35870.000"";""37030.000"";""97272"";1"
"2005-12-01 00:00:00;""37050.000"";""37420.000"";""36860.000"";""37150.000"";""71190"";1"
"2005-12-02 00:00:00;""38200.000"";""38540.000"";""38150.000"";""38330.000"";""63148"";1"
"2005-12-05 00:00:00;""38280.000"";""38470.000"";""38180.000"";""38350.000"";""36462"";1"
"2005-12-06 00:00:00;""38490.000"";""38500.000"";""38280.000"";""38450.000"";""29418"";1"
"2005-12-07 00:00:00;""38300.000"";""38750.000"";""38110.000"";""38720.000"";""52946"";1"
"2005-12-08 00:00:00;""39200.000"";""39350.000"";""39150.000"";""39240.000"";""39348"";1"
"2005-12-09 00:00:00;""39260.000"";""39450.000"";""39230.000"";""39440.000"";""23198"";1"
"2005-12-12 00:00:00;""39400.000"";""40180.000"";""39340.000"";""40140.000"";""32760"";1"
"2005-12-13 00:00:00;""39400.000"";""39550.000"";""39250.000"";""39500.000"";""32818"";1"
"2005-12-14 00:00:00;""40100.000"";""40330.000"";""40100.000"";""40280.000"";""23180"";1"
"2005-12-15 00:00:00;""39270.000"";""39750.000"";""39270.000"";""39620.000"";""31562"";1"
"2005-12-16 00:00:00;""39550.000"";""39750.000"";""39280.000"";""39420.000"";""23586"";1"
"2005-12-19 00:00:00;""40030.000"";""40080.000"";""39750.000"";""39790.000"";""16064"";1"
"2005-12-20 00:00:00;""39700.000"";""39800.000"";""39600.000"";""39700.000"";""13670"";1"
"2005-12-21 00:00:00;""39710.000"";""39870.000"";""39640.000"";""39670.000"";""11688"";1"
"2005-12-22 00:00:00;""39710.000"";""40170.000"";""39710.000"";""40150.000"";""24918"";1"
"2005-12-23 00:00:00;""40200.000"";""40640.000"";""40200.000"";""40600.000"";""29320"";1"
"2005-12-26 00:00:00;""40750.000"";""41880.000"";""40750.000"";""41680.000"";""48862"";1"
"2005-12-27 00:00:00;""41860.000"";""42260.000"";""41650.000"";""41970.000"";""39332"";1"
"2005-12-28 00:00:00;""42150.000"";""42150.000"";""41700.000"";""42000.000"";""33566"";1"
"2005-12-29 00:00:00;""41950.000"";""41980.000"";""41240.000"";""41400.000"";""32056"";1"
"2005-12-30 00:00:00;""41400.000"";""41740.000"";""41350.000"";""41720.000"";""33652"";1"
"2006-01-02 00:00:00;""41400.000"";""41740.000"";""41350.000"";""41720.000"";""33652"";1"
"2006-01-03 00:00:00;""41400.000"";""41740.000"";""41350.000"";""41720.000"";""33652"";1"
