index,x,y,z,distance_to_origin,u1,v1,u2,v2,distance_between_params
54,0.813065,0.000000,-0.000000,0.813065,0.000000,-0.186935,6.283185,0.186935,2.004551e-16
55,0.817085,0.000000,-0.000000,0.817085,0.000000,-0.182915,6.283185,0.182915,2.299544e-16
56,0.821106,0.000000,-0.000000,0.821106,0.000000,-0.178894,6.283185,0.178894,2.023026e-16
57,0.825126,0.000000,-0.000000,0.825126,0.000000,-0.174874,6.283185,0.174874,2.315772e-16
58,0.829146,0.000000,-0.000000,0.829146,0.000000,-0.170854,6.283185,0.170854,2.323921e-16
59,0.833166,0.000000,-0.000000,0.833166,0.000000,-0.166834,6.283185,0.166834,2.332094e-16
60,0.837186,0.000000,-0.000000,0.837186,0.000000,-0.162814,6.283185,0.162814,2.340291e-16
61,0.841206,0.000000,-0.000000,0.841206,0.000000,-0.158794,6.283185,0.158794,2.348510e-16
62,0.845226,0.000000,-0.000000,0.845226,0.000000,-0.154774,6.283185,0.154774,2.078866e-16
63,0.849246,0.000000,-0.000000,0.849246,0.000000,-0.150754,6.283185,0.150754,2.088230e-16
64,0.853266,0.000000,-0.000000,0.853266,0.000000,-0.146734,6.283185,0.146734,2.097611e-16
65,0.857286,0.000000,-0.000000,0.857286,0.000000,-0.142714,6.283185,0.142714,2.107007e-16
66,0.861307,0.000000,-0.000000,0.861307,0.000000,-0.138693,6.283185,0.138693,2.116419e-16
67,0.865327,0.000000,-0.000000,0.865327,0.000000,-0.134673,6.283185,0.134673,2.125846e-16
68,0.869347,0.000000,-0.000000,0.869347,0.000000,-0.130653,6.283185,0.130653,2.135289e-16
69,0.873367,0.000000,-0.000000,0.873367,0.000000,-0.126633,6.283185,0.126633,2.144746e-16
70,0.877387,0.000000,-0.000000,0.877387,0.000000,-0.122613,6.283185,0.122613,2.154218e-16
71,0.881407,0.000000,-0.000000,0.881407,0.000000,-0.118593,6.283185,0.118593,2.163704e-16
72,0.885427,0.000000,-0.000000,0.885427,0.000000,-0.114573,6.283185,0.114573,2.440372e-16
73,0.889447,0.000000,-0.000000,0.889447,0.000000,-0.110553,6.283185,0.110553,2.182720e-16
74,0.893467,0.000000,-0.000000,0.893467,0.000000,-0.106533,6.283185,0.106533,2.457347e-16
75,0.897487,0.000000,-0.000000,0.897487,0.000000,-0.102513,6.283185,0.102513,2.201792e-16
76,0.901508,0.000000,-0.000000,0.901508,0.000000,-0.098492,6.283185,0.098492,2.474401e-16
77,0.905528,0.000000,-0.000000,0.905528,0.000000,-0.094472,6.283185,0.094472,2.220919e-16
78,0.909548,0.000000,-0.000000,0.909548,0.000000,-0.090452,6.283185,0.090452,2.230502e-16
79,0.913568,0.000000,-0.000000,0.913568,0.000000,-0.086432,6.283185,0.086432,2.240098e-16
80,0.917588,0.000000,-0.000000,0.917588,0.000000,-0.082412,6.283185,0.082412,2.249707e-16
81,0.921608,0.000000,-0.000000,0.921608,0.000000,-0.078392,6.283185,0.078392,2.517372e-16
82,0.925628,0.000000,-0.000000,0.925628,0.000000,-0.074372,6.283185,0.074372,2.268964e-16
83,0.929648,0.000000,-0.000000,0.929648,0.000000,-0.070352,6.283185,0.070352,2.534692e-16
84,0.933668,0.000000,-0.000000,0.933668,0.000000,-0.066332,6.283185,0.066332,2.288270e-16
85,0.937688,0.000000,-0.000000,0.937688,0.000000,-0.062312,6.283185,0.062312,2.552084e-16
86,0.941709,0.000000,-0.000000,0.941709,0.000000,-0.058291,6.283185,0.058291,2.307625e-16
87,0.945729,0.000000,-0.000000,0.945729,0.000000,-0.054271,6.283185,0.054271,2.569546e-16
88,0.949749,0.000000,-0.000000,0.949749,0.000000,-0.050251,6.283185,0.050251,2.327027e-16
89,0.953769,0.000000,-0.000000,0.953769,0.000000,-0.046231,6.283185,0.046231,2.336746e-16
90,0.957789,0.000000,-0.000000,0.957789,0.000000,-0.042211,6.283185,0.042211,2.346476e-16
91,0.961809,0.000000,-0.000000,0.961809,0.000000,-0.038191,6.283185,0.038191,2.356217e-16
92,0.965829,0.000000,-0.000000,0.965829,0.000000,-0.034171,6.283185,0.034171,2.365969e-16
93,0.969849,0.000000,-0.000000,0.969849,0.000000,-0.030151,6.283185,0.030151,2.622346e-16
94,0.973869,0.000000,-0.000000,0.973869,0.000000,-0.026131,6.283185,0.026131,2.385507e-16
95,0.977889,0.000000,-0.000000,0.977889,0.000000,-0.022111,6.283185,0.022111,2.640079e-16
96,0.981910,0.000000,-0.000000,0.981910,0.000000,-0.018090,6.283185,0.018090,2.405087e-16
97,0.985930,0.000000,-0.000000,0.985930,0.000000,-0.014070,6.283185,0.014070,2.657875e-16
98,0.989950,0.000000,-0.000000,0.989950,0.000000,-0.010050,6.283185,0.010050,2.424709e-16
99,0.993970,0.000000,-0.000000,0.993970,0.000000,-0.006030,6.283185,0.006030,2.434535e-16
100,0.997990,0.000000,-0.000000,0.997990,0.000000,-0.002010,6.283185,0.002010,2.444372e-16
101,1.002010,0.000000,0.000000,1.002010,0.000000,0.002010,6.283185,-0.002010,2.454218e-16
102,1.006030,0.000000,0.000000,1.006030,0.000000,0.006030,6.283185,-0.006030,2.464074e-16
103,1.010050,0.000000,0.000000,1.010050,0.000000,0.010050,6.283185,-0.010050,2.473940e-16
104,1.014070,0.000000,0.000000,1.014070,0.000000,0.014070,6.283185,-0.014070,2.483816e-16
105,1.018090,0.000000,0.000000,1.018090,0.000000,0.018090,6.283185,-0.018090,2.493701e-16
106,1.022111,0.000000,0.000000,1.022111,0.000000,0.022111,6.283185,-0.022111,3.346397e-16
107,1.026131,0.000000,0.000000,1.026131,0.000000,0.026131,6.283185,-0.026131,2.513499e-16
108,1.030151,0.000000,0.000000,1.030151,0.000000,0.030151,6.283185,-0.030151,2.523412e-16
109,1.034171,0.000000,0.000000,1.034171,0.000000,0.034171,6.283185,-0.034171,2.533334e-16
110,1.038191,0.000000,0.000000,1.038191,0.000000,0.038191,6.283185,-0.038191,2.543265e-16
111,1.042211,0.000000,0.000000,1.042211,0.000000,0.042211,6.283185,-0.042211,2.553204e-16
112,1.046231,0.000000,0.000000,1.046231,0.000000,0.046231,6.283185,-0.046231,2.563153e-16
113,1.050251,0.000000,0.000000,1.050251,0.000000,0.050251,6.283185,-0.050251,2.573110e-16
114,1.054271,0.000000,0.000000,1.054271,0.000000,0.054271,6.283185,-0.054271,2.583075e-16
115,1.058291,0.000000,0.000000,1.058291,0.000000,0.058291,6.283185,-0.058291,2.593049e-16
116,1.062312,0.000000,0.000000,1.062312,0.000000,0.062312,6.283185,-0.062312,3.421426e-16
